duong_di_1 = [[
-1660.4414,16.4543,3.5469,137.9047,2511.04,VEHICLE,0,0
-1661.2970,15.5074,3.5469,137.9050,2520.96,VEHICLE,0,0
-1662.1516,14.5616,3.5469,137.9053,2530.81,VEHICLE,0,0
-1663.0083,13.6138,3.5469,137.9056,2540.62,VEHICLE,0,0
-1663.5796,12.9818,3.5469,137.9058,2547.12,VEHICLE,0,0
-1664.9921,11.4191,3.5469,137.9062,2563.02,VEHICLE,0,0
-1665.8568,10.4624,3.5469,137.9064,2572.61,VEHICLE,0,0
-1666.7291,9.4971,3.5470,137.9066,2582.28,VEHICLE,0,0
-1667.6013,8.5319,3.5470,137.9067,2591.90,VEHICLE,0,0
-1668.4796,7.5599,3.5470,137.9067,2598.76,VEHICLE,0,0
-1669.3572,6.5886,3.5469,137.9067,2605.40,VEHICLE,0,0
-1670.2393,5.6190,3.5469,137.8487,2611.31,VEHICLE,0,0
-1671.1420,4.6605,3.5468,137.3530,2613.92,VEHICLE,0,0
-1671.7539,4.0314,3.5468,136.8000,2614.43,VEHICLE,0,0
-1672.3743,3.4127,3.5467,136.1051,2614.40,VEHICLE,0,0
-1673.3257,2.5037,3.5466,134.8413,2617.35,VEHICLE,0,0
-1674.2994,1.6051,3.5485,133.6055,2623.13,VEHICLE,0,0
-1675.2832,0.7100,3.5509,132.7797,2630.79,VEHICLE,0,0
-1676.2698,-0.1778,3.5505,132.2681,2638.00,VEHICLE,0,0
-1677.2576,-1.0596,3.5494,131.9719,2627.43,VEHICLE,0,0
-1678.2513,-1.9421,3.5483,131.8030,2608.04,VEHICLE,0,0
-1679.2290,-2.8071,3.5473,131.7098,2588.72,VEHICLE,0,0
-1680.2070,-3.6706,3.5466,131.6575,2569.42,VEHICLE,0,0
-1681.1749,-4.5241,3.5460,131.6289,2550.18,VEHICLE,0,0
-1682.1400,-5.3749,3.5455,131.6136,2530.98,VEHICLE,0,0
-1683.0927,-6.2146,3.5451,131.6060,2511.85,VEHICLE,0,0
-1684.0381,-7.0487,3.5449,131.6025,2492.78,VEHICLE,0,0
-1684.9755,-7.8765,3.5447,131.6012,2473.76,VEHICLE,0,0
-1685.9098,-8.7025,3.5445,131.6006,2481.39,VEHICLE,0,0
-1686.8434,-9.5290,3.5446,131.6000,2488.78,VEHICLE,0,0
-1687.7821,-10.3608,3.5448,131.5993,2496.07,VEHICLE,0,0
